cell,cluster
ABprpappppp,1
ABprppaaaa,1
ABprppaaaaa,1
ABprppaaaap,1
ABprppaaaapa,1
ABprppaaaapp,1
ABprppaaap,1
ABprppaapa,1
ABprppaapaa,1
ABprppaapap,1
ABprppaapp,1
ABprppaappa,1
ABprppaappp,1
ABprppapaa,1
ABprppapaaa,1
ABprppapaap,1
ABprppapap,1
ABprppapapa,1
ABprppapapp,1
ABprppappa,1
ABprppappaa,1
ABprppappap,1
ABprppappp,1
ABprppapppa,1
ABprppapppp,1
ABprpppaaa,1
ABprpppaaaa,1
ABprpppaaap,1
ABprpppaap,1
ABprpppaapa,1
ABprpppaapp,1
ABprpppapa,1
ABprpppapaa,1
ABprpppapap,1
ABprpppapp,1
ABprppppaa,1
ABprppppaaa,1
ABprppppaap,1
ABprppppap,1
ABprppppapa,1
ABprppppapp,1
ABprpppppa,1
ABprpppppaa,1
ABprpppppap,1
ABprpppppp,1
ABprppppppa,1
ABprppppppp,1
Caaaaa,1
Caaaap,1
Caaapa,1
Caaapp,1
Caapa,1
Caapaa,1
Caapap,1
Caappd,1
Caappv,1
Capaaa,1
Capaaaa,1
Capaaap,1
Capaap,1
Capaapa,1
Capaapp,1
Capapa,1
Capapaa,1
Capapap,1
Capapp,1
Capappa,1
Capappp,1
Cappaa,1
Cappaaa,1
Cappaap,1
Cappap,1
Cappapa,1
Cappapp,1
Capppa,1
Capppaa,1
Capppap,1
Capppp,1
Cappppd,1
Cappppv,1
Cpaaaa,1
Cpaaap,1
Cpaapa,1
Cpaapp,1
Cpapaa,1
Cpapap,1
Cpappd,1
Cpappv,1
Cppaaa,1
Cppaaaa,1
Cppaaap,1
Cppaap,1
Cppaapa,1
Cppaapp,1
Cppapa,1
Cppapaa,1
Cppapap,1
Cppapp,1
Cppappa,1
Cppappp,1
Cpppaa,1
Cpppaaa,1
Cpppaap,1
Cpppap,1
Cpppapa,1
Cpppapp,1
Cppppa,1
Cppppaa,1
Cppppap,1
Cppppp,1
Cpppppd,1
Cpppppv,1
Daaa,1
Daaaa,1
Daaap,1
Daap,1
Daapa,1
Daapp,1
Dapa,1
Dapaa,1
Dapap,1
Dapp,1
Dappa,1
Dappaa,1
Dappap,1
Dappp,1
Dapppa,1
Dapppp,1
Dpaa,1
Dpaaa,1
Dpaap,1
Dpap,1
Dpapa,1
Dpapp,1
Dppa,1
Dppaa,1
Dppap,1
Dppp,1
Dpppa,1
Dpppaa,1
Dpppap,1
Dpppp,1
Dppppa,1
Dppppp,1
Ealaa,1
Ealaad,1
Ealaav,1
Ealap,1
Ealpa,1
Ealpp,1
Earaa,1
Earaad,1
Earaav,1
Earap,1
Earpa,1
Earpp,1
Eplaa,1
Eplap,1
Eplpa,1
Eplpp,1
Eplppa,1
Eplppp,1
Epraa,1
Eprap,1
Eprpa,1
